satisfied,comments_es
Positivo,La atención en ventanilla es verdaderamente transparente un gran beneficio para mí.
Positivo,La atención en ventanilla resulta ser muy amigable un gran beneficio para mí.
Positivo,La atención en ventanilla resulta ser muy eficiente y no tengo quejas.
Negativo,El asesor financiero se ha vuelto ineficiente es una falta de respeto.
Positivo,El portal web se nota que es rápida y el proceso fue muy fluido.
Negativo,La atención en ventanilla está funcionando de forma ineficiente exijo una solución pronto.
Negativo,El soporte por chat me parece muy confusa muy frustrante el proceso.
Positivo,La gestión de mi hipoteca es verdaderamente excelente muy recomendable para todos.
Positivo,El servicio de préstamos es verdaderamente impecable realmente superó mis expectativas.
Negativo,El asesor financiero se ha vuelto deficiente un desastre total.
Positivo,La atención en ventanilla resulta ser muy eficiente realmente superó mis expectativas.
Negativo,La tarjeta de débito está funcionando de forma confusa y las comisiones son un robo.
Positivo,El soporte por chat se nota que es eficiente justo lo que buscaba.
Negativo,El portal web está funcionando de forma mediocre y me hace perder mucho tiempo.
Positivo,El cajero automático me parece que es rápida un gran beneficio para mí.
Positivo,La atención en ventanilla siempre funciona de forma eficiente justo lo que buscaba.
Positivo,El soporte por chat siempre funciona de forma segura y el proceso fue muy fluido.
Negativo,Mi banca en línea se ha vuelto ineficiente muy frustrante el proceso.
Negativo,La gestión de mi hipoteca me parece muy mediocre y las comisiones son un robo.
Positivo,El asesor financiero me parece que es excelente un gran beneficio para mí.
Negativo,La tarjeta de débito se ha vuelto confusa un desastre total.
Positivo,Mi banca en línea siempre funciona de forma profesional un gran beneficio para mí.
Negativo,El servicio de préstamos se ha vuelto confusa es una falta de respeto.
Negativo,El cajero automático se ha vuelto lenta y me hace perder mucho tiempo.
Positivo,El soporte por chat resulta ser muy amigable realmente superó mis expectativas.
Negativo,El soporte por chat resulta ser una confusa y me hace perder mucho tiempo.
Negativo,La aplicación está funcionando de forma deficiente un desastre total.
Positivo,El portal web se nota que es impecable la mejor experiencia que he tenido.
Negativo,El cajero automático me parece muy deficiente estoy muy insatisfecho.
Negativo,El soporte por chat me parece muy decepcionante muy frustrante el proceso.
Positivo,La gestión de mi hipoteca me parece que es impecable realmente superó mis expectativas.
Positivo,La aplicación es verdaderamente transparente y el proceso fue muy fluido.
Negativo,El asesor financiero resulta ser una complicada es una falta de respeto.
Positivo,La atención en ventanilla me parece que es segura y el proceso fue muy fluido.
Negativo,La aplicación es bastante mediocre un desastre total.
Positivo,El soporte por chat siempre funciona de forma rápida y no tengo quejas.
Negativo,Mi banca en línea resulta ser una mediocre exijo una solución pronto.
Negativo,El asesor financiero se ha vuelto pésima muy frustrante el proceso.
Negativo,La tarjeta de débito me parece muy lenta es una falta de respeto.
Positivo,La atención en ventanilla se nota que es excelente la mejor experiencia que he tenido.
Positivo,La gestión de mi hipoteca me parece que es amigable muy recomendable para todos.
Positivo,La gestión de mi hipoteca resulta ser muy segura un gran beneficio para mí.
Negativo,El servicio de préstamos me parece muy decepcionante es una falta de respeto.
Negativo,La tarjeta de débito es bastante complicada es una falta de respeto.
Negativo,La atención en ventanilla está funcionando de forma complicada es una falta de respeto.
Positivo,La gestión de mi hipoteca es verdaderamente rápida y el proceso fue muy fluido.
Negativo,Mi banca en línea resulta ser una confusa un desastre total.
Negativo,La gestión de mi hipoteca me parece muy deficiente muy frustrante el proceso.
Positivo,El asesor financiero resulta ser muy profesional y el proceso fue muy fluido.
Positivo,El portal web se nota que es rápida y no tengo quejas.
Negativo,El soporte por chat resulta ser una mediocre es una falta de respeto.
Negativo,La atención en ventanilla es bastante confusa no lo recomendaría a nadie.
Positivo,El servicio de préstamos es verdaderamente transparente y no tengo quejas.
Negativo,El cajero automático me parece muy complicada y las comisiones son un robo.
Positivo,La tarjeta de débito se nota que es segura un gran beneficio para mí.
Negativo,La gestión de mi hipoteca se ha vuelto lenta exijo una solución pronto.
