comments_es,satisfied
en general este banco es satisfactorio,Positivo
facil de encontrar sucursales y cajeros automaticos del banco zhe en general estoy contento con el servicio brindado,Positivo
la aplicacion de telefono del banco es realmente genial en general una buena opcion para realizar operaciones bancarias,Positivo
considere seriamente cambiarse a un banco rival,Negativo
supongo que mi banco esta comprometido con la sostenibilidad y reduce sus emisiones de carbono las tarifas son demasiado altas todo esta bastante bien,Positivo
es hora de que su banco realice cambios significativos y contribuya a un futuro mas ecologico el portal de banca en linea de los bancos necesita mejoras no es lo suficientemente bueno y todo,Negativo
el sitio web del banco es bastante facil de usar bastante buena opcion para realizar operaciones bancarias,Positivo
las sucursales bancarias son muy faciles de encontrar en general una buena opcion para realizar operaciones bancarias,Positivo
las tarifas mensuales cobradas por este banco son razonables,Positivo
es importante para mi que mi banco este comprometido a generar un impacto positivo en la comunidad opcion razonablemente buena para banca,Positivo
no mant productos financieros para personas como yo,Negativo
necesitas contribuir mas a nuestra localidad,Negativo
estoy completamente satisfecho con los servicios bancarios y en general soy un cliente satisfecho,Positivo
buen servicio al cliente pero se puede mejorar,Neutro
el banco tiene una gama limitada de servicios podria cerrar mi cuenta,Negativo
las comisiones del banco me parecen razonables,Positivo
este banco ofrece un excelente servicio al cliente en general estoy bastante contento con el servicio,Positivo
este banco ofrece una variedad de productos financieros utiles en general mi banco fue una buena eleccion,Positivo
necesita ampliar su gama de productos financieros tu aplicacion movil no funciona mi descontento con el banco es tan grande que no lo recomendaria,Negativo
debe priorizar la privacidad de los datos de sus clientes,Negativo
en general diria que las cosas estan bien,Positivo
facil de encontrar una sucursal en general este banco es aceptable,Positivo
aprecio que mi banco participe en programas de extension comunitaria las tasas hipotecarias de este banco son bastante competitivas,Positivo
buena aplicacion movil segura muy bueno lo recomendaria a un amigo,Positivo
estos cargos bancarios no son transparentes y desearia no haber abierto una cuenta en este banco,Negativo
que mal servicio al cliente creo que me cambiare a un competidor,Negativo
la aplicacion de telefono que proporciona el banco es muy util opcion bastante justa para transacciones bancarias,Positivo
en general estoy bastante contento con mi banco,Positivo
nada que decir,Negativo
las tasas de ahorro que ofrece el banco se encuentran entre las mejores del mercado,Positivo
estoy pensando seriamente en cambiarme de banco,Negativo
es necesario abordar la huella ambiental de los bancos realmente pobre en general creo que cambiare de banco pronto,Negativo
overwall lo estas haciendo bien,Positivo
no hay muchos productores financieros para gente como yo,Negativo
estoy decepcionado con el servicio brindado por este banco y estoy considerando llevar mi negocio a otra parte,Negativo
el banco es decente en general,Positivo
la privacidad de los datos se toma en serio cosas decentes en general,Positivo
me alegra que se tome en serio la seguridad de la banca en linea este banco cobra tarifas razonables por sus servicios estoy satisfecho con mi banco,Positivo
la red de cajeros automaticos de este banco es buena en general todo esta bien,Positivo
la banca en linea de los bancos es inadecuada su mal servicio esta marcando la fecha de cambio de banco,Negativo
el banco debe tomar medidas para abordar las preocupaciones de los clientes sobre la privacidad de los datos estoy considerando seriamente cambiarme a otro banco,Negativo
como instrumento financiero su banco tiene el deber de pensar en el medio ambiente realmente inaceptable,Negativo
no estoy contento de haber cerrado tantas de sus sucursales el desempeno de este banco es inaceptable,Negativo
la aplicacion movil es realmente buena,Positivo
deje de aumentar sus tasas hipotecarias realmente pobre en general creo que cambiaras de banco pronto,Negativo
las comisiones bancarias son demasiado altas tuve una experiencia tan negativa que no recomendaria este servicio a nadie,Negativo
es necesario tomarse mas en serio la privacidad de los datos,Negativo
buena gama de servicios financieros proporcionados x este pank bastante feliz con mi banco,Positivo
sin comentarios,Positivo
la red de cajeros automaticos de este banco es buena estoy satisfecho con mi banco,Positivo
en general sus servicios bancarios han sido excelentes y estoy satisfecho con ellos,Positivo
la gama de productos hipotecarios que ofrece este banco es impresionante,Positivo
las tasas de ahorro que ofrece este banco son impresionantes y en general estoy razonablemente satisfecho con mi banco,Positivo
estoy frustrado por sus excesivos cargos bancarios lo que he experimentado simplemente no es aceptable,Negativo
bastante bueno,Positivo
los cambios de mi cuenta no son demasiado caros en general estoy bastante satisfecho con el servicio,Positivo
la aplicacion movil del banco es realmente fantastica lo estas haciendo bien,Positivo
la privacidad de los datos se toma en serio supongo que en general todo esta bien,Positivo
falta de servicios para mis necesidades especiales las tasas de ahorro tuyas son muy bajas,Negativo
el servicio de este banco es realmente inaceptable,Negativo
autosel servicio brindado a sus clientes es consistentemente decepcionante decepcionado con el servicio prestado por este banco,Negativo
me decepciono el servicio,Negativo
las tarifas que cobra este banco son razonables los servicios bancarios han sido excelentes y estoy muy contento,Positivo
sin comentarios,Negativo
no me gusta la aplicacion movil del banco realmente no estoy contento con este banco,Negativo
no estoy contento de que hayas cerrado tantas de tus sucursales servicio al cliente de baja calidad el mal desempeno general del banco me hizo decidir cambiar pronto,Negativo
el servicio al cliente de pank es insatisfactorio,Negativo
el banco debe trabajar para ganarse la confianza de los clientes en materia de privacidad de datos,Negativo
las tasas hipotecarias son bastante razonables en este banco supongo que todo es bastante decente en general,Positivo
bajas tasas de interes de ahorro realmente inaceptable,Negativo
este banco necesita garantizar que la aplicacion movil sea mas segura no estoy satisfecho con las altas tarifas que tengo que pagar simplemente no es aceptable,Negativo
estoy decepcionado con el servicio brindado por este banco y estoy considerando llevar mi negocio a otra parte,Negativo
hay servicios limitados disponibles para mis necesidades especificas debe esforzarse mas,Negativo
los servicios son limitados para clientes como yo el mal desempeno general del banco me hizo decidir cambiarme pronto,Negativo
el banco realiza una gran labor benefica en la localidad los servicios y soporte bancario han sido excepcionales y estoy completamente satisfecho,Positivo
hay que tener mas cuidado con los datos de los clientes es necesaria la ampliacion de la gama de productos financieros,Negativo
falta de servicios bancarios para las necesidades de mayo quizas cierre mi cuenta ahora,Negativo
me gusta que mi banco apoye a las empresas y emprendedores locales bastante bien,Positivo
la sucursal bancaria mas cercana se encuentra muy cerca en general este banco es aceptable,Positivo
el banco no da suficiente importancia a la privacidad de los datos la atencion al cliente del banco es frustrante o esperaba un mayor nivel de servicio de este banco y me han decepcionado,Negativo
no feliz no se lo recomendaria a un amigo,Negativo
este banco va mas alla al apoyar iniciativas comunitarias la aplicacion movil esta bien disenada y es segura,Positivo
bastante buena opcion para banca,Positivo
sin comentarios,Negativo
las tasas hipotecarias que ofrece este banco son bastante competitivas este banco esta comprometido a retribuir a la comunidad estoy bastante contento con el servicio del banco,Positivo
la proteccion de los datos de los clientes es un aspecto crucial para plank,Positivo
productos hipotecarios muy limitados,Negativo
buen sitio web para este banco el banco tiene una gran cantidad de sucursales estoy bastante satisfecho en general,Positivo
sin comentarios,Positivo
el servicio al cliente del banco es desagradable,Negativo
las tasas de ahorro que ofrece son muy bajas realmente no estoy contento con usted,Negativo
las comisiones bancarias no son demasiado altas,Positivo
muy contento con mi banco,Positivo
la red de cajeros automaticos de este banco es muy limitada realmente no estoy contento con este banco,Negativo
supongo que todo esta bien en general,Positivo
aplicacion movil bien disenada que es facil de usar incluso para personas como yo,Positivo
el servicio al cliente de los bancos es insatisfactorio las ubicaciones del banco son incomodas espero un nivel de servicio superior al proporcionado esto es inaceptable y debe abordarse,Negativo
esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
sin comentarios,Negativo
la plataforma en linea de los bancos es realmente impresionante estoy satisfecho con mi banco,Positivo
muchas sucursales no me importan las tarifas y cargos de este banco transitable en general,Positivo
el banco realmente deberia contribuir mas a nuestra comunidad podria cerrar mi cuenta ahora,Negativo
la aplicacion movil esta bien construida y es segura estoy satisfecho con mi banco,Positivo
el servicio al cliente de este banco es realmente malo simplemente no es aceptable,Negativo
el medio ambiente deberia ser una mayor prioridad para su banco no estoy satisfecho con el servicio que recibi y no se lo recomendaria a nadie,Negativo
productos hipotecarios muy limitados,Negativo
la aplicacion movil proporcionada por el banco es confiable y segura,Positivo
los servicios del banco me parecen bastante impresionantes he tenido una buena experiencia bancaria gracias,Positivo
pasable en general,Positivo
necesita mejorar su portal de banca en linea la aplicacion movil necesita ser mas segura su banco deberia trabajar para crear un entorno mas centrado en el cliente realmente no estoy contento con este banco,Negativo
prefiero no comentar sobre esto,Positivo
autosfalta el servicio brindado a los clientes,Negativo
contento con su seguridad en linea la gama de productos hipotecarios que ofrece este banco es impresionante estoy bastante satisfecho con mi banco y el servicio que brinda,Positivo
las tasas de interes de sus ahorros son mas bajas que las de otros bancos estoy pensando seriamente en cambiarme de banco,Negativo
es inconveniente ir a las ubicaciones de los bancos necesito hacerlo mejor en el futuro,Negativo
considere seriamente cambiarse a un banco rival,Negativo
sin comentarios,Negativo
el enfoque del banco en la seguridad de la banca en linea es tranquilizador bastante feliz con mi banco,Positivo
los servicios del banco me parecen bastante impresionantes me siento bien al realizar operaciones bancarias con una empresa que apoya iniciativas locales en general estoy satisfecho con el servicio que brindan,Positivo
el servicio de atencion al cliente del banco no coopera lamento haber abierto una cuenta en este banco,Negativo
razonablemente feliz en general,Positivo
en definitiva los gastos bancarios son bastante razonables,Positivo
ok cargos bastante buena opcion para banca,Positivo
sin comentarios,Positivo
necesita redisenar su aplicacion movil el nivel de servicio al cliente proporcionado por su banco no es impresionante realmente mal servicio por su parte,Negativo
este banco tiene una impresionante seleccion de opciones hipotecarias bastante bien,Positivo
estoy bastante contento con mi banco,Positivo
los productos hipotecarios de los bancos estan bastante restringidos,Negativo
el banco deberia asumir un papel de liderazgo en el desarrollo comunitario no es suficiente en absoluto,Negativo
el banco tiene una gama limitada de servicios que me atienden tu experiencia con la aplicacion es decepcionante estoy completamente decepcionado con el nivel de servicio brindado por este banco,Negativo
el banco podria ofrecer mas opciones para clientes como yo,Negativo
el banco tiene muy pocos servicios que cumplan con mis requisitos estoy bastante insatisfecho y no lo recomendaria,Negativo
el servicio de atencion al cliente no es util el nivel de servicio al cliente proporcionado por este banco no es aceptable podria cerrar mi cuenta,Negativo
las opciones hipotecarias de los bancos son insuficientes esto no es lo suficientemente bueno,Negativo
en general estoy bastante feliz,Positivo
me gusta que mi banco este comprometido a apoyar causas medioambientales las tarifas que cobra este banco son razonables razonablemente feliz en general,Positivo
sus tasas de ahorro son tan bajas que simplemente no son aceptables,Negativo
las tasas de su hipoteca son mas altas que las de otros bancos,Negativo
buena aplicacion movil y parece muy segura,Positivo
nada que decir,Positivo
sin comentarios,Negativo
el banco necesita mostrar mas apoyo a los locales mi experiencia con el servicio de este banco ha sido tan negativa que no se lo recomendaria a nadie,Negativo
las tasas hipotecarias del banco son excesivamente altas necesito hacerlo mejor en el futuro,Negativo
falta el servicio brindado a los clientes considerando seriamente cambiarse a un banco rival,Negativo
las tasas hipotecarias son una carga demasiado grande el servicio al cliente de los bancos es frustrante no estoy satisfecho con el servicio que recibi y no se lo recomendaria a nadie mas,Negativo
mi banco ha sido un fantastico apoyo para nuestras escuelas locales lo cual es muy apreciado,Positivo
sin comentarios,Positivo
el sitio web del banco es realmente facil de navegar en general todo esta bien,Positivo
la experiencia de servicio al cliente es decepcionante esto es inaceptable,Negativo
las sucursales si son inconvenientes esto es inaceptable,Negativo
pensando en cerrar mi cuenta,Negativo
el banco tiene muchos cajeros automaticos estoy bastante contento con mi banco,Positivo
los cargos no son demasiado excesivos los representantes de servicio al cliente son muy amables y serviciales bastante buena opcion para la banca,Positivo
tratar con este banco es extremadamente inconveniente esperaba un mejor servicio de este banco y me ha decepcionado,Negativo
el banco tiene muy pocos servicios que cumplan con mis requisitos realmente pobre en general creo que cambiare de banco pronto,Negativo
el banco tiene tasas de ahorro impresionantes que son dificiles de encontrar en otros lugares,Positivo
el mal desempeno general del banco me hizo decidir cambiarme pronto,Negativo
tasas hipotecarias justas en general razonablemente satisfecho,Positivo
las tasas hipotecarias son demasiado altas y es necesario mejorar los servicios de este banco,Negativo
es bueno ver que mi banco se esta tomando en serio las preocupaciones medioambientales en general estoy bastante contento con mi banco,Positivo
las tasas de interes de ahorro que ofrece este banco son desalentadoras el banco debe tener mas cuidado con los datos de los clientes realmente inaceptable,Negativo
las tarifas mensuales no son tan malas bien en general supongo,Positivo
sin comentarios,Negativo
la aplicacion movil es realmente pobre he estado decepcionado con el servicio brindado,Negativo
es bueno ver que mi banco participa activamente en el apoyo a los grupos locales bien en general,Positivo
bastante feliz con mi banco,Positivo
ok tarifas,Positivo
las comisiones bancarias son demasiado altas no hay muchos productos financieros para personas como met esto es inaceptable,Negativo
el servicio de banca online que ofrece el banco es muy amplio pasable en general,Positivo
